fecha,expo_valor,expo_precios,expo_cantidades,impo_valor,impo_precios,impo_cantidades,ti_nominal,ti_base100,ti_anual_b100
2004-01-01,80.6039530158,97.8631943664,82.3386309339914,85.99981646159999,94.74751423,90.7654797091399,103.28840303803292,100.0,100.0
2004-02-01,83.1230999051,98.6377912232,84.2710483728363,72.90965474660001,95.36504879,76.4531024244781,103.43180491671198,100.13883637897496,
2004-03-01,92.2348754502,98.6990144105,93.4903206931723,90.3561759779,96.68743698,93.4814178663821,102.08049514324811,98.83054838756678,
2004-04-01,105.4987717178,101.221201051,104.331205658073,88.26141263,97.87861107,90.232000130875,103.41503618048836,100.12260151065442,
2004-05-01,117.8073316596,104.3732159754,113.006773126208,95.8147403079,99.75594181,96.1159567500476,104.62857057095836,101.29750048747675,
2004-06-01,102.4080666667,101.9055829736,100.662021215719,109.0299433424,99.66544712,109.452043119077,102.24765544963924,98.99238679485592,
2004-07-01,105.3092832617,100.5637684312,104.847919538866,105.3135811132,101.9898195,103.269011769792,98.60177116128732,95.462576882886,
2004-08-01,102.2087991209,98.362305174,103.982599167642,108.6177159242,101.6999897,106.787395890253,96.71810731166671,93.63888342435996,
2004-09-01,104.1864952875,98.6739263948,105.569481293492,108.2751209411,101.4101908,106.743592339955,97.30178556650544,94.20397905723928,
2004-10-01,98.2418096715,102.093820304,96.1157511277072,105.4565015401,103.3292032,102.034682138127,98.80442037900086,95.65877433754014,
2004-11-01,105.5721379354,98.8694678516,106.622047878606,117.2247057231,103.0238107,113.78164089071,95.96758960848648,92.91226002705186,
2004-12-01,102.8053763093,96.9367118444,105.962200993687,112.740631292,101.1469861,111.483676971163,95.83746939188336,92.78628246057208,
2005-01-01,96.5222167209,96.9899385278,99.5914624747265,101.6345370667,105.2938855,96.5732315803302,92.11355252703636,89.1809243029135,97.028019
2005-02-01,90.4538131125,98.4345883554,92.0365398709186,99.8314211985,105.089439,95.0553997999001,93.66744107883191,90.68534155217952,
2005-03-01,106.0084827295,100.6754731168,105.371997654355,117.4893433689,106.1166755,110.77136861977,94.8724341791126,91.85197116870768,
2005-04-01,123.584598001,100.8358497944,122.460354118333,127.2381986578,108.4478865,117.346422564098,92.98092664479913,90.0206837456492,
2005-05-01,128.2502650246,100.3590811795,127.603867839534,132.3734804643,108.6737061,121.8052315412,92.34900030661603,89.40887610839643,
2005-06-01,119.7438760778,104.2050690261,114.735778042133,145.6136217561,108.3784074,134.348345894702,96.14928981333232,93.0881754246197,
2005-07-01,124.9778817203,103.9419803521,120.099181048623,125.5872843959,107.7301492,116.557507454675,96.4836502353048,93.41189078097908,
2005-08-01,133.18120747950002,108.8268792001,122.278440894209,140.3770369588,108.2053069,129.719257932192,100.57443790688978,97.37243964344788,
2005-09-01,120.8800074128,110.0311404477,109.822378057168,131.95204175139995,107.7645439,122.423234613132,102.10328598412042,98.85261363419848,
2005-10-01,117.9621510199,109.4395267615,107.786860534452,133.8014975014,107.6273328,124.291952473803,101.68376741702548,98.44645132095172,
2005-11-01,113.6255881706,109.0913890759,104.191533183427,144.4112907942,108.3780923,133.226668611414,100.65815586966184,97.45349226921188,
2005-12-01,126.4898990713,111.1690841626,113.821606282121,133.387544615,110.6945748,120.481378914783,100.42866541875004,97.2313081283386,
2006-01-01,110.627802134,109.1255417062,101.462209632678,124.2294867781,110.5395591,112.378030245524,98.72080420320763,95.5778202581529,101.350597
2006-02-01,107.2410353332,112.1532575667,95.7058119085113,124.3578244864,111.2032586,111.824178969785,100.8542905834416,97.6433826228342,
2006-03-01,126.6087048417,111.7212007271,113.331978458811,145.5328976138,111.8571822,130.097790784691,99.87843295332,96.69859346798371,
2006-04-01,136.2345541682,110.1109259941,123.634863599342,136.08920359310002,112.215473,121.232665193781,98.12454829121472,95.00054740422624,
2006-05-01,145.1174493205,111.9737593767,129.459625182814,151.08356166220003,111.7231348,135.190591997482,100.22432648094654,97.03347474937904,
2006-06-01,133.54263907909998,116.6153146292,114.405511217844,152.8613132535,114.1613922,133.876742808736,102.14952041308412,98.89737609310365,
2006-07-01,132.46967072,116.7941351907,113.350211187977,152.49706728860002,114.8360922,132.81360376014,101.70507629891294,98.4670817898724,
2006-08-01,147.3691906544,117.1674369731,125.71895348927,175.4022253023,115.8164746,151.500865872359,101.16646822290684,97.945621432113,
2006-09-01,140.4953542032,117.3384278361,119.730835322753,169.4482099943,115.2474332,147.085530367501,101.81435245717904,98.57287891234886,
2006-10-01,145.8965987228,117.5055038499,124.191489351026,174.0293077228,116.2045171,149.806266081282,101.11956641821456,97.90021284478593,
2006-11-01,142.64622971300005,120.0363282641,118.887237089444,173.07318348159998,115.6281504,149.70841588498,103.8123742781066,100.50728951621096,
2006-12-01,147.2029311356,121.558167886,121.12127355953,147.36609739300002,114.0673325,129.185318033738,106.56702950952234,103.17424451831457,
2007-01-01,117.6391519424,123.757389312,95.078775756276,157.7726134957,116.1776614,135.771817870897,106.5242558859082,103.13283268275892,107.485357
2007-02-01,124.503668978,124.3397541582,100.114701118142,149.20452085820003,115.7452138,128.882665911898,107.4253958984868,104.00528301219892,
2007-03-01,144.815524912,123.6028565298,117.106523125582,182.9574850213,116.6771247,156.845516217205,105.93580948074222,102.5631207036229,
2007-04-01,149.18748050620002,120.0587259006,124.214117652523,163.64588310570002,118.3194085,138.422674426476,101.47001867457782,98.23950771822318,
2007-05-01,168.5289964796,122.8684237652,137.109996954527,189.3733863499,119.3726394,158.802456579331,102.92846366032518,99.65152004763284,
2007-06-01,156.9109816942,126.9728503342,123.57588539295,191.3420650117,122.0079521,156.974868994193,104.06932347338366,100.7560581947067,
2007-07-01,160.14401673990002,128.4040842046,124.736201564148,220.5795607417,125.3093602,176.123100141456,102.46966707009013,99.20733020952862,
2007-08-01,170.8125502789,129.0080275538,132.397981930126,246.2733884448,126.7269091,194.379231503517,101.80002690036412,98.55900943969404,
2007-09-01,167.55598055660002,128.3878882416,130.465816505726,211.8785272503,124.7637307,169.797668355027,102.90481658512958,99.62862582669412,
2007-10-01,193.6888951662,138.8442226181,139.371118019529,235.264291336,124.4807394,188.926976145926,111.53871939332323,107.98765022269964,
2007-11-01,188.255059915,144.5665795295,130.055979140419,234.4100615191,122.5692254,191.139622527525,117.94688190099308,114.19179543086034,
2007-12-01,200.83389849090003,153.6891978524,130.472902840052,207.5091093347,124.0500352,167.133401326549,123.89290950592172,119.948518770594,
2008-01-01,201.9333553264,163.0377404644,123.647277703493,239.437040264,124.6129522,192.00501240146,130.83530851811406,126.66989194318144,120.548584
2008-02-01,181.3638926427,165.4898154709,109.421012678843,225.068783484,126.3545528,177.973947852114,130.972578196565,126.8027913533896,
2008-03-01,173.214351904,170.0724440647,101.731709617664,222.5891540969,129.432495,171.821039746426,131.39856731085962,127.21521821038895,
2008-04-01,202.8818154258,166.0722384567,122.077959882397,263.5515246616,135.3440597,194.595742645514,122.70375133183626,118.7972199421596,
2008-05-01,216.5780999874,165.5660032999,130.745893995917,278.0342797141,141.2574018,196.70641053604,117.20872760658408,113.4771418272634,
2008-06-01,187.6587171782,167.5617582434,111.976146121686,277.79514000470004,149.0985385,186.197846818446,112.3832332155288,108.8052771753543,
2008-07-01,243.3100033941,173.64667184860002,140.021608669472,323.2836454536,148.8005077,217.16871669323,116.69763398838192,112.98231994681088,
2008-08-01,255.6718076372,176.0304904687,145.244109125963,275.8039157411,145.0871964,190.153688137385,121.32737749193974,117.46466585146496,
2008-09-01,240.1242092329,173.5228376828,138.634282204565,283.9382393096,145.6122958,195.377595169386,119.1677095189375,115.37375543995726,
2008-10-01,210.3623006875,165.0325351049,128.108343633449,274.211312505,139.531231,197.381235945308,118.2764130454063,114.5108352598447,
2008-11-01,170.1629818356,152.3195802371,112.483303245464,223.5994306861,130.7118296,172.04089267529,116.5308302264786,112.82082673266773,
2008-12-01,146.8418442693,139.847884658,105.608353121087,184.8229025269,125.4569394,148.077871379403,111.47082443332744,107.92191684121748,
2009-01-01,128.9247017526,137.636449911,93.8545116296666,147.5623624467,120.4520709156,122.703726716429,114.26656998487056,110.62865396688848,121.611953
2009-02-01,136.9086084918,139.8924198962,97.7740362857426,142.3875047841,121.2752888129,117.292431052225,115.35113316614894,111.67868780358069,
2009-03-01,147.978010866,139.77113019290002,105.671452084591,154.42119241600005,120.3726402716,128.103842231346,116.11536465224216,112.41858837674744,
2009-04-01,175.3471356079,139.8517297132,125.227640066832,148.4474857541,122.7170281197,120.946177723474,113.96277424253344,110.3345301994552,
2009-05-01,180.5901153787,143.0659014663,126.130876149742,142.21280908120002,122.8574184465,115.792410508214,116.44872835139384,112.74133874304844,
2009-06-01,180.86564195320005,153.2823688205,117.941483783425,193.4800018707,123.1255534337,157.161411768312,124.49273489198056,120.52924745688998,
2009-07-01,170.91927709179998,149.3719503031,114.376742664698,191.8753361629,123.6290114145,155.078577778903,120.82273294436511,116.97608772194464,
2009-08-01,151.0391734128,150.5523510165,100.29793050938,174.033089405,123.6022548942,140.580293658047,121.80388710980112,117.92600478579422,
2009-09-01,157.2451825398,150.3756986804,104.525326825921,195.992227887,117.8687336913,166.04112856305,127.57895497056602,123.51721124353992,
2009-10-01,166.85899180869998,151.8179343474,109.841409907208,195.4746870902,117.697954678,165.865015242848,128.98944145864388,124.8827919346834,
2009-11-01,169.1030146642,152.47586903,110.825418943995,195.2046117098,118.7871873572,164.20721748331,128.36053485423153,124.2739078916406,
2009-12-01,166.39941815010002,157.70619662270002,105.433171148797,192.5526965429,121.4148579647,158.627767273842,129.89036042734682,125.7550282576433,
2010-01-01,152.99139071460002,162.2422642392,94.2317724880647,171.5742096253,120.1049943609,143.117049727489,135.0836949808123,130.78302210856305,125.078717
2010-02-01,137.4009390296,157.09380736010002,87.4277347580123,184.719684367,122.3022031991,151.391339734528,128.44724236436,124.35785488624803,
2010-03-01,162.68618814430002,156.02504117470002,104.240492753923,235.39134145480003,125.69280244,187.591610537983,124.13204109215344,120.18003710101456,
2010-04-01,215.45822287170003,151.5054764686,142.173466477217,219.253501337,125.6564508193,174.587554866335,120.57118872987438,116.73255194533075,
2010-05-01,225.6897067881,150.9278018308,149.529225523197,244.6150654015,133.4761399162,183.250709152224,113.0747427409548,109.47477104406224,
2010-06-01,221.0543231497,151.4392309881,145.997307999586,275.3910682699,129.96740926450002,211.861735981441,116.52092770419247,112.81123947795676,
2010-07-01,207.6764294136,153.0299345441,135.765017449385,282.84811975840006,129.091724858,219.134616704063,118.54356637687803,114.76948320444826,
2010-08-01,221.5307159697,157.0470361455,141.06407742211,286.3218043017,127.9046734149,223.910202682818,122.7844393426246,118.875339080819,
2010-09-01,221.2528780443,157.4158525175,140.470905128505,285.3309193384,125.8036017271,226.85518061312,125.12825575453316,121.14453517928663,
2010-10-01,204.7192236876,165.817222862,123.279364577895,264.68985177170003,125.0986804265,211.585639163488,132.54913824564568,128.32915830525366,
2010-11-01,205.2999410412,171.4992388403,119.493295573317,298.0851462007,125.2957865731,237.914896299449,136.8755035830706,132.51778472426398,
2010-12-01,190.3311605558,175.6311863261,108.227339848788,288.10093135,128.80553300050002,223.699464537064,136.35375921732972,132.01265118516883,
2011-01-01,179.9570851681,180.05899708150002,99.9602688872324,261.3933912187,128.4785844029,203.529009617963,140.14708981914637,135.68521314783163,138.733433
2011-02-01,187.3460743931,184.0263536038,101.901966260557,254.7150825642,131.1043700614,194.440911622291,140.36630016041042,135.8974444679183,
2011-03-01,211.6435141328,190.7891066246,111.037764852211,301.61848634480003,136.3273927782,221.530078759746,139.94920810596545,135.49363141419977,
2011-04-01,244.4329060171,187.6800328071,130.277499542365,295.8075029065,135.8446230839,218.175219011685,138.15786635234403,133.7593207840298,
2011-05-01,275.3218038647,190.6008703981,144.443922791421,346.9683495188,141.64782853090003,245.371752161192,134.5596839534473,130.27569407177265,
2011-06-01,271.29926688570004,191.8962407773,141.378577666215,358.4477360565,146.6020690902,244.753028827123,130.89599755869193,126.72864882081032,
2011-07-01,250.7748792913,191.5799448007,130.934419180427,366.6807986331,143.3341828288,255.752283466608,133.65963444290554,129.404299525949,
2011-08-01,289.05108159270003,190.3098648751,151.885637181697,410.1205909174,139.1224160245,294.574966343228,136.7930994251751,132.43800407564152,
2011-09-01,267.8710239526,190.3099066209,140.779943637876,368.2830198612001,134.40381180670002,273.772750190163,141.59561701613367,137.08762344209663,
2011-10-01,258.0567535142,189.2963878648,136.352253288571,336.9803494702,130.9312557318,257.26848578767,144.576928409329,139.97401853148295,
2011-11-01,225.3545593655,187.4609801331,120.267140667864,333.063679705,129.9414192024,256.280965543619,144.26576320603834,139.67275992534874,
2011-12-01,218.8678123056,187.8211457936,116.580606043565,320.10671842380003,132.8194470595,240.95054866871,141.41087766271195,136.90876565362478,
2012-01-01,187.3897971658,185.5848094236,101.043017318247,286.7641834722,127.7296366315,224.349729161716,145.295026524668,140.66925448655388,144.788928
2012-02-01,208.3957029006,190.11852937760003,109.648503367568,252.6134784423,132.7046015549,190.154160814783,143.26445891851597,138.70333426082988,
2012-03-01,215.1788358349,194.0292996938,110.908479314185,275.1496609177,130.86968665220002,210.0961100235,148.2614535552861,143.5412390882771,
2012-04-01,233.0520891984,195.7179253705,119.037098787413,255.0101944227,144.1498300245,176.843652063587,135.77395501419278,131.45130626542652,
2012-05-01,245.7502062822,191.9776063613,127.939609845729,320.09050573850004,144.8312618259,221.029087676521,132.55260220826776,128.33251198535729,
2012-06-01,236.7731388203,193.4747605282,122.323291366858,322.5713840118,144.39244372060003,223.427260259892,133.99230288156522,129.72637676683462,
2012-07-01,265.68164271800003,194.9014613448,136.25068513249,339.2184247192,138.7453588916,244.487006421451,140.47422047253778,136.00192891046274,
2012-08-01,258.6011205724,196.0449842255,131.869234291004,335.5591387466,129.5128484785,258.998064136582,151.3710697653637,146.55185414148164,
2012-09-01,236.1122198594,195.1597564282,120.980080576506,313.0080150124,128.7158339488,242.914929441968,151.62062851244065,146.7934676622029,
2012-10-01,239.0998024755,191.1469772496,125.085483086793,334.49947512430003,123.9341560276,269.437943216506,154.2326856262545,149.32236445698828,
2012-11-01,230.7778059841,195.4679486225,118.073306093923,308.98988787070004,128.1001200169,240.679321391254,152.58998086552322,147.73195864915874,
2012-12-01,219.0901336549,193.4725518704,113.241210819284,290.6550705274,131.4523265128,220.682735392239,147.18077420376494,142.49496543147245,
2013-01-01,186.8258152548,196.5370503832,95.0627221669595,286.46870296289995,135.4678554833,211.31161747984,145.08021086037522,140.46127792967587,135.238575
2013-02-01,170.2653002249,192.1089103093,88.6379049076803,276.65941666040004,137.8749931169,200.663138365835,139.33557200355884,134.89953170468965,
2013-03-01,213.7898495904,194.3219041011,109.99937292536,300.42018610170004,139.9490746174,214.725244154325,138.85186781859562,134.43122725739838,
2013-04-01,239.3143348011,194.3587066934,123.125335643594,331.12304132820003,145.8959915702,226.961829452372,133.2173040544993,128.9760516535878,
2013-05-01,291.2995079715,195.3116529597,149.119438888542,375.7452102947,148.36403660110005,253.315408187163,131.64352860311155,127.45238064590627,
2013-06-01,259.7218015066,193.4902680446,134.255225467864,355.1466697276,149.5764050593,237.622762360466,129.3588169657442,125.24040759746438,
2013-07-01,240.5382953366,192.820933445,124.80356833488,373.6102134753,141.6684673417,264.167481541866,136.10716418631242,131.77390702438777,
2013-08-01,249.8701643318,186.2910766292,134.143035250233,378.1943067689,144.9445850885,261.343050742509,128.52572347939372,124.43383739030982,
2013-09-01,227.1468455962,186.0737121154,122.053396414888,322.3269214925,131.8463066161,244.589467715625,141.1292563979021,136.63611039269858,
2013-10-01,209.1747781603,182.323563463,114.627753527395,365.2059621254,134.7949057353,270.507251477908,135.25998068579324,130.9536953882303,
2013-11-01,176.64053465420002,186.4421570393,94.6272957292004,325.6798237509,136.67409262770002,237.582658421204,136.41367830197936,132.070662620032,
2013-12-01,171.8160494779,184.2007902348,93.1449507434042,289.3277737584,142.5272959016,202.310090100887,129.23895669919335,125.1243633339988,
2014-01-01,148.3803900982,188.9204986592,78.458135815975,301.9945780641,138.89624528800002,217.08328723533,136.0155548247364,131.685214239059,132.550251
2014-02-01,161.30613621400002,191.9944093584,83.9536549594257,296.0508935438,138.2046840774,214.08551155934,138.92033445905182,134.4975141186939,
2014-03-01,170.51115025849998,186.5125932467,91.3882092245993,288.1616770237,145.1172765624,198.531201205329,128.52542279244065,124.43354627635684,
2014-04-01,224.8463275641,193.73827707260003,116.032313007302,302.3961988358,143.6247204273,210.48580752865,134.89201336385997,130.59744307808683,
2014-05-01,249.1406672665,194.102176708,128.343383789915,308.853472547,140.185019394,220.260950388329,138.46142586923784,134.0532158467524,
2014-06-01,250.01487600380003,197.7718810025,126.424303202783,312.6421025648,146.92239649,212.753242083021,134.6097570740081,130.32417300947327,
2014-07-01,222.7081130882,188.5088968913,118.163155899066,328.5368845056,144.7799012472,226.933845637775,130.20377501807815,126.0584646372492,
2014-08-01,222.8136855849,182.8904349885,121.844486283939,301.7679115088,138.7643790373,217.522838696307,131.79926740373256,127.60316117502693,
2014-09-01,197.3140697026,182.7978316795,107.992357816996,301.7518695635,136.82712692479998,220.643315665918,133.5976540528878,129.34429241169929,
2014-10-01,201.0903069319,174.911813057,115.017066262933,293.7426276611,137.4944095139,213.798631103715,127.21376358165114,123.16364648876257,
2014-11-01,169.6862526278,172.84259046030002,98.2255931739668,248.6574253045,136.1345860054,182.810630369924,126.96449560102523,122.92231447733226,
2014-12-01,156.2581354911,172.911766946,90.3573405630999,229.9150048809,135.5071060782,169.790738526361,127.6034681503818,123.54094399484087,
